Fund Custody Code;External Fund Identifier;Fund Name;Trade Date;Value Date;IBAN;Account Type;Currency;Amount;Reversal Flag;Transaction Type;Transaction ID
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME82 8888 8200 8288 8200;CABR;NOK;1.51;N;S2;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME82 8888 8200 8288 2200;CABR;NZD;3.94;N;S2;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME28 8888 8200 8288 2200;CABR;JPY;-187;N;S1;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME82 8888 8200 8280 2200;CABR;DKK;-8.43;N;S1;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME82 8888 8200 8282 8200;CABR;CAD;3.14;N;S2;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME82 8888 8200 8280 2200;CABR;AUD;12.45;N;S2;
1512;DB3785Z9173803;CHALLENGE TECHNOLOGY FD;30112015;30112015;EMEM ME22 8888 8200 8288 2800;CABR;USD;1611.09;N;EE;001512EEA0490000
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME88 8888 8200 8280 8200;CABR;EUR;-22.79;N;S1;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME88 8888 8200 8282 2200;CABR;USD;-0.73;N;S1;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME82 8888 8200 8282 8000;CABR;GBP;3.02;N;S2;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME22 8888 8200 8282 2800;CABR;CHF;-1.43;N;S1;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME80 8888 8200 8282 2800;CABR;SEK;-12.68;N;S1;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME28 8888 8200 8282 2800;CABR;NOK;18.49;N;S2;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME88 8888 8200 8288 2000;CABR;NZD;30.16;N;S2;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME22 8888 8200 8282 8200;CABR;JPY;-279;N;S1;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME28 8888 8200 8282 2200;CABR;DKK;-2.99;N;S1;
1505;DB3888Z9173803;CHALLENGE ENERGYFD;30112015;30112015;EMEM ME88 8888 8200 8282 2000;CABR;CAD;15.36;N;S2;
